Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-3_ses-13_T1w	36.8962	46.7157	82.8563	60.6956	84.9272	79.4461	85.2792	97.2115	42.671	35.7012	80.902	69.9273	70.469	50.2216	75.8257	88.9545	59.8462	51.8027	34.2008	44.1465	84.2614	61.6182	84.1479	75.7441	84.2771	95.2117	68.9238	67.397	74.5654	86.6029	59.8696	52.7785	0.0	69.4393	0.0	0.0	0.0	0.0	0.0	73.8418	99.1368	84.973	88.0813	93.3183	100.011
sub-3_ses-14_T1w	37.5929	47.1655	86.6941	64.6127	85.7655	77.8732	85.4235	95.8785	44.63	39.1006	82.6445	70.7731	70.693	52.7213	75.2854	88.8505	58.9412	53.6726	37.0674	43.7212	87.9188	66.1023	86.2138	77.1315	84.6655	95.9375	71.1794	67.7961	76.7571	89.0555	57.2857	54.4941	0.0	71.8726	0.0	0.0	0.0	0.0	0.0	81.7805	99.4166	85.5839	88.4354	94.5129	99.8834
sub-3_ses-15_T1w	39.5011	47.7654	84.92	62.8951	86.3734	79.1045	86.9186	97.9363	46.0237	38.7312	82.4117	72.1661	71.8511	52.9242	77.8957	90.1543	65.1538	51.7102	37.1272	47.2122	84.5321	62.9745	83.2445	75.6161	85.8207	96.2672	71.1985	70.1587	74.2066	87.812	63.1111	53.0607	0.0	70.6033	0.0	0.0	0.0	0.0	0.0	76.8247	99.0556	88.8193	89.8974	93.1808	100.1389
sub-3_ses-16_T1w	38.1021	45.1913	84.707	62.2784	87.217	79.603	85.708	96.5582	44.0077	35.9638	82.0041	71.3472	71.6435	51.0214	77.0647	89.9799	61.2143	52.9669	35.7031	42.34	84.1656	61.8447	84.4732	75.8006	84.481	94.7068	69.4451	68.199	74.6322	86.906	57.9333	52.0619	0.0	71.0893	0.0	0.0	0.0	0.0	0.0	75.0347	99.9983	84.027	88.3418	92.282	101.7545
sub-3_ses-17_T1w	37.7938	42.9109	86.852	64.2963	86.5472	79.092	86.2257	96.6176	44.5895	35.7577	82.1948	70.4153	70.7292	50.9859	76.6018	90.0325	63.2857	52.1898	34.9078	47.1641	87.1027	64.7904	84.1951	76.3745	83.8945	95.2605	69.4178	68.0425	75.4217	88.2413	58.375	51.6679	0.0	70.0601	0.0	0.0	0.0	0.0	0.0	77.3243	101.8028	84.8997	84.8786	92.4398	101.9723
sub-3_ses-18_T1w	38.4291	46.3067	85.9836	63.8442	87.2771	81.4817	87.6528	98.0814	43.7616	37.2599	82.5176	71.2055	71.9874	53.0837	78.1326	90.4602	62.8421	53.6215	36.216	46.0224	87.5185	65.3003	86.7869	78.1052	85.9255	97.1597	71.2958	68.6095	75.448	88.3369	63.0	54.2938	0.0	70.0858	0.0	0.0	0.0	0.0	0.0	77.4506	102.4663	89.5051	88.5213	95.786	106.0329
sub-3_ses-19_T1w	38.7923	47.4051	84.3349	62.4548	87.0661	80.8947	87.9295	98.4535	46.1444	38.2197	82.374	72.9378	73.4587	53.0998	78.2326	90.5744	65.3333	53.2247	37.5717	47.7277	85.8504	64.3348	86.2069	78.1406	86.5174	97.2209	72.6821	71.0386	76.5182	90.165	60.3333	54.1187	0.0	70.989	0.0	0.0	0.0	0.0	0.0	81.6529	98.7887	83.1701	86.4147	93.334	97.6401
sub-3_ses-20_T1w	39.2817	46.5417	85.4473	63.5061	87.0994	79.4552	86.581	96.3177	45.3913	38.3978	82.1329	72.0783	71.8059	52.9393	76.5864	90.1194	62.4545	53.5729	36.5422	45.1315	85.9081	63.1953	85.7212	77.1394	85.6556	95.6638	71.4878	69.6389	75.6824	88.0996	58.0	52.6513	0.0	74.6995	0.0	0.0	0.0	0.0	0.0	81.0311	102.0705	85.5536	86.1491	93.154	102.0397
sub-3_ses-21_T1w	36.949	43.6696	84.1557	61.1633	84.8759	78.9824	86.05	96.101	42.4639	36.1241	79.5276	70.2997	70.5519	50.9696	76.5617	89.2553	59.8333	51.465	35.5432	43.5885	83.9174	60.6562	84.1895	75.6088	82.3006	93.8775	67.9839	66.5479	75.1371	86.1033	57.3846	52.9714	0.0	73.7397	0.0	0.0	0.0	0.0	0.0	78.7903	99.3956	83.8842	85.8812	94.7747	101.7749
sub-3_ses-22_T1w	37.1474	43.7357	86.2392	63.4996	88.5144	81.6942	88.0249	99.8693	43.3296	34.2311	82.4239	70.2296	71.2648	50.051	77.7483	89.6755	62.6154	51.6798	35.1888	43.354	86.1022	63.2817	85.5775	77.5837	85.3521	96.6389	69.0396	67.7385	74.7479	88.0226	58.625	52.2794	0.0	70.9902	0.0	0.0	0.0	0.0	0.0	81.3924	102.337	87.6325	87.2925	93.6182	103.1389
sub-3_ses-23_T1w	38.1522	48.9663	84.2164	61.7953	87.7831	79.0692	86.9136	98.7225	45.1724	36.0513	82.3124	72.2167	72.5908	52.1752	76.9093	91.0151	63.9375	52.3495	36.5406	48.9306	84.8962	62.3467	86.6138	77.753	87.004	98.5732	72.2272	70.2881	76.7698	90.7701	62.4286	53.1086	0.0	71.2468	0.0	0.0	0.0	0.0	0.0	79.8692	100.0033	83.4051	85.7692	92.7627	101.2073
sub-3_ses-24_T1w	35.405	47.2832	84.7605	60.0411	85.9042	79.7999	86.3442	98.7553	41.2201	33.7316	80.51	70.056	70.2475	47.5143	76.8921	88.8215	60.0588	51.6767	32.6859	48.1484	86.5387	62.3911	83.4322	77.091	85.127	97.5265	69.2159	68.2981	75.2833	87.2911	60.0	51.1271	0.0	71.6327	0.0	0.0	0.0	0.0	0.0	78.8516	102.4378	84.821	85.7485	93.9929	104.803
sub-3_ses-25_T1w	38.2984	46.5769	84.8929	62.4033	87.6847	81.3473	86.7157	98.4865	44.7536	36.8475	82.9266	71.0196	71.5615	50.939	78.7147	90.6337	61.0	52.519	36.3105	46.6407	86.1381	64.9258	85.2736	77.5864	85.2204	96.1654	71.0464	68.4706	75.1124	87.5612	61.7273	52.2413	41.3333	71.8596	0.0	0.0	0.0	0.0	0.0	76.994	103.0009	85.3063	87.3565	94.6341	101.8675
