lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-14_T1w.long.sub-3_base	2778.0	1837.0	6922.0	2893.0	2278.0	11483.0	13369.0	13810.0	2385.0	12754.0	8110.0	7254.0	5402.0	12863.0	2197.0	3833.0	3920.0	2407.0	3193.0	2072.0	10795.0	2341.0	14944.0	9543.0	3153.0	16339.0	24474.0	13952.0	14270.0	11890.0	1042.0	2005.0	1171.0	6706.0	1145656.0	1555417.948757
sub-3_ses-15_T1w.long.sub-3_base	2821.0	1813.0	6923.0	3004.0	2350.0	11584.0	13263.0	13801.0	2417.0	12932.0	8013.0	7211.0	5252.0	12837.0	2138.0	3879.0	3863.0	2373.0	3170.0	2172.0	10845.0	2324.0	15078.0	9733.0	3133.0	16185.0	24302.0	14103.0	14347.0	11880.0	1057.0	1981.0	1166.0	6963.0	1149797.0	1555417.948757
sub-3_ses-16_T1w.long.sub-3_base	2848.0	1912.0	6925.0	2975.0	2436.0	11602.0	13576.0	14000.0	2411.0	12852.0	8080.0	7200.0	5395.0	13233.0	2180.0	3907.0	3999.0	2468.0	3290.0	2176.0	10870.0	2385.0	15179.0	9750.0	3175.0	16620.0	24678.0	14082.0	14758.0	12033.0	1045.0	2317.0	1105.0	6708.0	1151208.0	1555417.948757
sub-3_ses-17_T1w.long.sub-3_base	2869.0	1860.0	7077.0	2945.0	2282.0	11452.0	13576.0	13999.0	2385.0	13168.0	8224.0	7172.0	5260.0	13043.0	2229.0	3970.0	3992.0	2465.0	3192.0	2141.0	10808.0	2304.0	15207.0	9855.0	3141.0	16513.0	24583.0	14250.0	14635.0	12106.0	1024.0	2228.0	1114.0	6837.0	1154340.0	1555417.948757
sub-3_ses-18_T1w.long.sub-3_base	2876.0	1864.0	7057.0	2961.0	2314.0	11565.0	13797.0	13895.0	2415.0	12737.0	7932.0	7192.0	5348.0	13073.0	2173.0	3930.0	3989.0	2417.0	3239.0	2040.0	10918.0	2364.0	15306.0	9789.0	3142.0	16586.0	24915.0	14226.0	14462.0	11959.0	1040.0	2132.0	1139.0	6827.0	1150908.0	1555417.948757
sub-3_ses-19_T1w.long.sub-3_base	2799.0	1833.0	6845.0	2964.0	2405.0	11507.0	13425.0	13688.0	2382.0	12665.0	8037.0	7136.0	5310.0	12801.0	2128.0	3980.0	3906.0	2422.0	3205.0	2172.0	10764.0	2320.0	15129.0	9570.0	3091.0	16440.0	24530.0	14114.0	14390.0	11974.0	1052.0	2280.0	1125.0	6620.0	1148949.0	1555417.948757
sub-3_ses-20_T1w.long.sub-3_base	2900.0	1891.0	6968.0	2948.0	2517.0	11561.0	13779.0	14002.0	2439.0	13112.0	8098.0	7199.0	5300.0	13255.0	2177.0	3943.0	3944.0	2464.0	3222.0	2116.0	10877.0	2337.0	15170.0	9771.0	3131.0	16463.0	24413.0	14151.0	14635.0	12124.0	1013.0	2224.0	1148.0	6664.0	1152661.0	1555417.948757
sub-3_ses-21_T1w.long.sub-3_base	2766.0	1811.0	6718.0	3016.0	2384.0	11463.0	13281.0	13533.0	2390.0	12692.0	7868.0	7101.0	5327.0	12763.0	2216.0	3880.0	3891.0	2351.0	3138.0	2222.0	10357.0	2284.0	14616.0	9405.0	3161.0	15962.0	23854.0	13632.0	14258.0	11754.0	1024.0	2114.0	1161.0	6650.0	1139829.0	1555417.948757
sub-3_ses-22_T1w.long.sub-3_base	2740.0	1881.0	6425.0	2992.0	2319.0	11374.0	13262.0	13608.0	2370.0	12791.0	7670.0	7108.0	5089.0	13017.0	2179.0	3857.0	3682.0	2356.0	3084.0	2077.0	10238.0	2310.0	13910.0	9482.0	3023.0	15778.0	23249.0	13277.0	14603.0	11307.0	1039.0	2188.0	1041.0	6539.0	1140081.0	1555417.948757
sub-3_ses-23_T1w.long.sub-3_base	2823.0	1872.0	6789.0	2958.0	2535.0	11621.0	13551.0	13775.0	2366.0	12910.0	7929.0	7281.0	5207.0	13008.0	2169.0	3874.0	3913.0	2428.0	3193.0	2141.0	10665.0	2368.0	15033.0	9666.0	3093.0	16047.0	23869.0	13993.0	14621.0	12017.0	1032.0	2216.0	1100.0	6722.0	1142463.0	1555417.948757
sub-3_ses-24_T1w.long.sub-3_base	2820.0	1912.0	6958.0	3103.0	2354.0	11604.0	13680.0	13908.0	2444.0	13171.0	7751.0	7342.0	5389.0	12923.0	2213.0	4020.0	3947.0	2443.0	3229.0	2304.0	11083.0	2429.0	15434.0	9765.0	3263.0	16350.0	24695.0	14279.0	14506.0	12142.0	1035.0	2114.0	1172.0	6614.0	1139831.0	1555417.948757
sub-3_ses-25_T1w.long.sub-3_base	2787.0	1832.0	6826.0	2968.0	2308.0	11383.0	13416.0	13692.0	2402.0	12781.0	7921.0	7098.0	5192.0	12932.0	2140.0	3944.0	3869.0	2403.0	3130.0	2073.0	10690.0	2331.0	14874.0	9573.0	3121.0	15970.0	23877.0	14070.0	14466.0	11853.0	1005.0	2129.0	1094.0	6641.0	1139511.0	1555417.948757
