Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-1_ses-1_T1w.long.sub-1_base	38.0327	48.9902	82.0931	57.6957	84.2061	75.5575	83.2653	93.1576	40.9115	32.3357	81.7531	67.9152	69.7022	52.6706	70.7363	86.2992	63.5161	54.9812	30.9392	40.2472	82.4874	59.2192	82.956	72.6588	79.8411	90.5342	66.9983	66.9041	69.9137	85.4627	57.1733	52.8803	41.0	71.255	0.0	0.0	0.0	0.0	0.0	76.1228	98.7042	93.6565	92.233	98.8201	102.8099
sub-1_ses-2_T1w.long.sub-1_base	37.0985	48.0718	82.2237	57.8988	85.1525	75.4656	83.4011	93.9057	39.5647	32.3206	82.1562	68.0018	69.1373	52.6576	69.4759	86.5598	62.7931	53.8308	29.8154	40.19	82.8291	59.1566	83.2588	72.7578	79.1121	90.1075	66.4049	66.3128	69.4239	85.2312	56.2692	53.5659	0.0	70.2973	0.0	0.0	68.0	0.0	0.0	75.7249	99.7906	92.7423	90.6164	96.5397	104.9304
sub-1_ses-3_T1w.long.sub-1_base	36.2468	47.2723	82.7399	57.4991	83.9075	75.0617	82.5779	93.1157	38.6563	31.2717	81.9636	67.1413	69.2266	52.3676	69.2979	85.9871	62.65	54.3043	29.2636	39.463	82.8846	58.4126	83.2241	72.6111	78.6492	90.7055	66.29	66.5843	69.6426	85.7338	56.0891	53.1411	44.5	70.5346	0.0	0.0	68.25	0.0	0.0	78.9471	99.3967	94.5719	92.9375	97.7253	106.2564
sub-1_ses-4_T1w.long.sub-1_base	38.2033	48.602	82.4258	58.052	84.6391	75.6715	83.1987	92.4995	41.7243	32.5074	81.9657	68.2987	69.8528	52.3759	70.7244	87.2657	63.325	54.547	31.1282	40.1124	82.7682	59.1479	83.6386	73.0155	81.0943	91.5944	67.5621	68.5566	71.3772	86.3421	57.2615	52.9199	0.0	70.4674	0.0	0.0	53.0	0.0	0.0	76.2035	100.58	93.1551	92.6212	98.4123	102.8026
sub-1_ses-5_T1w.long.sub-1_base	36.93	47.866	82.4958	58.1574	84.1728	75.5164	82.893	93.0751	40.1315	31.8221	81.966	67.7761	69.3627	51.9341	71.1098	87.0878	62.7143	54.1838	30.2288	40.8879	82.4264	58.6275	83.2488	72.6125	80.2205	90.6616	66.6767	67.5707	70.1801	85.7318	56.2295	53.4179	52.0	70.9832	0.0	0.0	0.0	0.0	0.0	78.1897	99.8741	92.9214	93.0316	98.8178	103.375
sub-1_ses-6_T1w.long.sub-1_base	36.1012	47.2028	81.989	57.1038	83.9886	75.1633	82.3132	92.8653	38.6184	31.104	81.507	66.583	68.9454	51.682	69.9865	86.201	63.5385	54.8576	29.5181	40.5143	82.5621	57.8523	83.3975	72.4143	78.8421	90.9398	66.6473	67.4333	69.3944	85.436	57.2329	53.3354	0.0	70.6638	0.0	0.0	0.0	0.0	0.0	78.5714	99.4542	93.8868	93.8233	97.9045	106.3551
sub-1_ses-7_T1w.long.sub-1_base	36.2372	46.665	82.7176	57.7809	84.5093	75.0892	82.503	93.0962	39.1731	31.1855	81.7448	67.4404	69.187	51.1728	71.1811	87.4013	63.0625	54.6601	29.3183	40.703	82.8007	58.7801	82.9649	72.2354	79.857	90.5371	66.5994	66.7412	70.4403	85.6725	57.3243	52.5244	50.0	70.9569	0.0	0.0	70.5	0.0	0.0	76.7784	100.7364	92.981	91.7534	97.3996	104.9632
sub-1_ses-8_T1w.long.sub-1_base	35.0451	45.6584	82.5037	56.494	83.42	74.3536	81.431	92.4087	37.3058	30.5387	81.2633	65.6718	68.2388	51.2494	68.2129	85.3524	62.0435	54.7496	28.1948	39.7913	82.3506	57.6757	82.9566	72.3285	78.4432	90.5875	65.6416	66.2383	68.851	84.9435	57.8281	53.5519	50.0	70.1	0.0	0.0	0.0	0.0	0.0	77.4181	99.8754	92.9329	93.8247	99.8672	104.2673
sub-1_ses-9_T1w.long.sub-1_base	35.7843	45.5938	82.2754	56.0552	83.6343	74.7964	81.6784	92.9944	37.8431	30.8624	81.4762	66.0376	68.2212	52.383	69.7282	85.6855	61.5217	54.4389	29.3869	40.2542	82.4977	57.8615	82.2995	71.894	78.4244	90.1687	65.534	65.8539	68.6171	84.1858	57.28	53.0652	53.0	70.6964	0.0	0.0	65.0	0.0	0.0	76.233	98.5084	93.7686	93.3197	97.7786	105.2657
sub-1_ses-10_T1w.long.sub-1_base	37.2332	47.0157	81.979	57.1307	84.0522	75.5903	82.8759	92.9781	41.2117	31.9452	81.4572	67.258	69.0175	52.8423	71.9744	86.6576	63.8125	54.3411	30.6601	40.6333	82.6671	58.7044	83.4517	73.234	80.9462	91.0703	66.681	67.074	71.1093	85.7646	58.0694	53.4085	0.0	70.4488	0.0	0.0	72.0	0.0	0.0	77.7296	99.8071	93.4866	90.8775	98.9212	102.8166
sub-1_ses-11_T1w.long.sub-1_base	35.6326	46.8204	82.9397	57.244	83.5803	74.1662	80.8533	92.1693	37.8902	30.5136	81.7082	66.9586	68.133	51.2383	68.0561	86.2182	61.9583	53.2694	28.3375	40.3162	82.7825	57.9769	82.2503	71.7354	77.7385	90.3199	65.3042	65.8481	68.7534	84.9589	55.4231	52.9381	0.0	70.2193	0.0	0.0	67.0	0.0	0.0	77.0273	100.0222	93.8773	94.1182	98.5547	105.8647
sub-1_ses-12_T1w.long.sub-1_base	36.1972	46.0048	82.7153	57.2068	83.7698	74.8018	82.0608	92.6344	39.1816	31.6845	81.8088	66.6742	68.1982	52.5659	68.0397	85.4788	62.7273	53.9379	29.6419	39.4712	83.1328	58.7806	82.9671	72.4809	78.3627	89.6243	65.9243	65.6348	70.0043	84.7381	55.6771	53.4535	54.5	70.0332	0.0	0.0	0.0	0.0	0.0	77.7213	99.2931	93.2197	93.3136	98.1526	105.1569
sub-1_ses-13_T1w.long.sub-1_base	39.6865	50.1806	82.2911	57.885	83.9752	75.2481	82.8153	92.4438	41.9594	32.902	81.0704	68.0135	70.2415	53.7188	71.7118	86.3343	63.0769	55.3729	32.4281	41.3382	82.6659	59.5893	83.5186	73.3469	79.8684	89.8237	67.0579	66.7992	71.5772	86.2467	57.3562	53.1968	44.5	69.6659	0.0	0.0	0.0	0.0	0.0	77.8989	97.3467	92.4055	93.0448	99.7225	102.4148
sub-1_ses-14_T1w.long.sub-1_base	36.1812	46.7358	82.7019	57.6793	83.403	74.5401	81.457	91.8118	37.9768	31.2631	81.7232	66.5806	67.8836	52.1193	69.3161	86.0402	61.5273	54.4102	29.2428	40.9429	82.6826	58.2363	81.9727	72.0962	77.7918	88.8804	65.1313	65.9168	69.2393	84.3817	56.0288	53.0727	0.0	70.72	0.0	0.0	70.0	0.0	0.0	75.2584	99.5926	93.292	94.6205	100.8775	104.9977
sub-1_ses-15_T1w.long.sub-1_base	37.4713	47.8743	82.4025	57.6493	83.5984	75.2624	82.7752	92.9337	40.5701	32.4374	81.4561	67.574	68.8964	53.0137	71.1854	85.9299	62.2727	54.9454	30.7824	41.835	83.0328	58.7499	82.7918	72.3163	79.6122	90.2979	66.0743	66.9692	70.8964	86.2294	56.3824	54.0958	0.0	70.1961	0.0	0.0	68.0	0.0	0.0	79.2652	98.5967	93.8544	93.6986	98.28	106.0115
sub-1_ses-16_T1w.long.sub-1_base	36.4265	46.3565	82.0666	56.6669	83.6986	75.1988	81.3808	91.9857	38.5746	30.7925	81.0764	66.3876	68.4896	51.985	70.0299	86.5037	62.0308	54.5053	29.4794	40.4874	82.3413	57.7812	82.7701	72.9619	79.7326	91.0913	66.2956	67.4212	70.1574	84.9351	57.1149	53.5815	56.0	70.5317	0.0	0.0	0.0	0.0	0.0	78.4919	99.635	95.1606	93.7216	98.5876	105.6654
sub-1_ses-17_T1w.long.sub-1_base	36.8059	47.5691	82.1482	57.5262	84.7086	75.4851	83.4585	93.5397	40.9463	32.2678	81.8732	68.043	69.6746	53.1368	70.4571	87.4385	62.7619	55.0301	29.9806	40.3301	82.554	58.9031	83.1148	72.3244	80.2391	89.8942	66.64	66.4475	70.3262	85.7839	58.4375	53.5177	0.0	71.1575	0.0	0.0	75.0	0.0	0.0	78.8283	99.4147	93.4122	92.8186	98.4482	103.1309
sub-1_ses-18_T1w.long.sub-1_base	36.7198	47.0044	82.456	56.6315	84.1055	75.0766	81.6497	92.728	39.2493	31.4037	81.8445	66.6365	68.334	52.5254	69.6597	86.2772	63.6875	54.2883	29.865	40.2421	82.7431	58.4501	82.5451	71.8071	79.0044	89.9716	65.7562	66.4169	68.9726	85.1553	55.96	53.5338	0.0	71.2128	0.0	0.0	0.0	0.0	0.0	74.8788	98.5543	93.9212	94.9475	97.8068	105.5405
sub-1_ses-19_T1w.long.sub-1_base	35.8906	46.2882	82.3006	56.8678	83.4608	74.6543	81.6818	93.019	39.0029	31.4306	81.3048	66.3882	68.2018	50.8932	69.9265	86.3513	62.9524	54.9585	29.1362	40.1855	82.4685	57.9645	82.3092	71.3975	78.5968	89.6147	65.0921	65.548	68.5889	85.0039	56.3407	53.3705	50.0	71.4787	0.0	0.0	55.0	0.0	0.0	78.5519	99.3277	94.5218	92.9904	98.6423	106.4754
sub-1_ses-20_T1w.long.sub-1_base	38.8786	48.5604	82.282	58.1504	85.4518	76.7185	82.9303	93.5954	41.043	32.4721	81.4229	68.3782	69.523	52.9488	72.5668	87.487	64.1707	54.0249	31.2022	39.8365	82.3824	58.3927	82.8029	72.4848	79.8229	90.5232	66.4354	67.2645	69.1752	84.8715	55.3014	53.6974	31.25	70.2368	0.0	0.0	0.0	0.0	0.0	77.388	99.3002	93.0851	91.7665	96.2425	104.1987
sub-1_ses-21_T1w.long.sub-1_base	38.3046	48.2819	82.0718	57.7749	85.0016	75.9276	83.2861	93.3557	42.0183	33.2906	81.9037	68.399	70.1672	52.8743	71.6944	87.6435	63.7826	53.4846	31.8219	42.2159	82.271	59.3141	83.8211	73.4523	81.2647	91.232	67.4903	68.1444	71.2745	85.7892	57.4468	53.2818	40.5	71.0288	0.0	0.0	62.6	0.0	0.0	78.7551	98.9688	91.8698	90.9981	97.5919	101.9218
sub-1_ses-22_T1w.long.sub-1_base	35.2282	46.0583	82.3467	56.8918	83.6906	74.1652	80.8894	92.1123	36.6969	30.1839	81.8109	66.4449	68.6397	50.5151	67.5721	86.0444	61.4444	54.5173	28.463	38.2222	82.5738	57.9488	82.6347	72.2205	78.082	90.3023	65.2333	65.1003	68.6987	84.8576	56.3846	52.875	43.5	69.9931	0.0	0.0	69.0	0.0	0.0	78.2487	99.7736	95.2633	93.7376	100.7115	103.6721
sub-1_ses-23_T1w.long.sub-1_base	36.2446	46.0758	82.5051	56.6794	83.6899	74.6252	81.1439	91.8889	38.238	31.0451	81.7083	66.3515	68.2487	51.8728	68.7165	85.9122	61.6	54.3966	29.5994	40.9615	82.7185	57.9222	82.4886	72.4446	78.6401	90.5756	66.4926	66.6681	68.9239	84.4129	56.5	52.9469	0.0	69.7069	0.0	0.0	70.0	0.0	0.0	77.0529	99.0104	94.3274	93.299	97.9386	106.0245
sub-1_ses-24_T1w.long.sub-1_base	37.2865	48.3081	82.13	57.525	84.1795	75.2673	82.7339	93.0731	40.1144	31.5473	81.6837	67.6286	69.4678	52.6512	70.4531	87.0451	62.88	54.4653	30.3881	41.9722	82.8114	58.3423	82.8857	72.5593	79.6583	90.1034	66.6264	67.2544	69.4641	85.392	56.9873	54.2331	0.0	70.6427	0.0	0.0	0.0	0.0	0.0	75.2264	99.4758	92.4765	92.3	99.167	103.4249
sub-1_ses-25_T1w.long.sub-1_base	38.6268	48.1356	82.371	58.2037	84.4408	75.9892	83.3007	93.1742	41.0118	32.9846	81.4376	68.3228	70.6247	53.3133	70.5891	86.9573	61.7368	54.0227	31.7048	43.05	82.6059	59.3785	82.7753	73.1015	80.4855	89.8705	67.5628	66.9989	71.2676	84.7204	57.4462	53.4141	0.0	70.456	0.0	0.0	0.0	0.0	0.0	78.6667	98.8301	94.3737	90.7567	99.5876	102.6336
sub-1_ses-26_T1w.long.sub-1_base	34.3801	46.6032	82.3403	56.5204	83.959	74.639	81.9753	93.015	36.8338	30.1113	81.8562	66.9381	68.5093	51.4014	68.5013	86.346	62.2857	53.7375	28.1992	39.6383	82.9815	57.7765	83.0565	72.1473	78.4438	90.4732	65.1468	65.3827	69.7275	85.019	57.0	53.2693	53.0	70.3553	0.0	0.0	63.0	0.0	0.0	77.1459	98.9778	94.1591	93.2715	100.6301	104.8482
sub-1_ses-27_T1w.long.sub-1_base	36.7679	47.0563	82.084	57.1438	84.0233	74.8748	82.0009	92.3286	39.2684	31.7473	81.6278	67.2148	68.8871	52.4509	70.276	86.6045	63.7857	54.3539	30.2727	40.6694	82.4066	58.462	82.9249	72.6827	80.0201	90.2756	66.4348	66.4275	70.6022	85.8415	57.4024	53.3219	0.0	72.0375	0.0	0.0	0.0	0.0	0.0	76.6286	99.4763	94.7711	92.2061	99.8129	103.1511
sub-1_ses-28_T1w.long.sub-1_base	36.5969	47.399	82.3396	57.3048	84.0252	75.1455	81.9051	92.9369	39.584	31.2055	81.5665	66.8418	69.1564	52.0683	70.0228	86.6871	62.7209	54.0505	30.2411	40.77	82.5529	58.1199	83.0925	72.383	78.368	90.4907	66.718	67.6425	68.97	84.9314	56.5357	53.1862	50.0	70.85	0.0	0.0	0.0	0.0	0.0	76.5888	98.6562	92.7795	91.9734	99.9809	103.6121
sub-1_ses-29_T1w.long.sub-1_base	37.3138	48.0773	82.7811	57.5743	84.2565	75.3113	82.9662	93.0524	40.7532	32.7221	81.8578	67.8143	69.4049	52.5233	69.6435	86.741	62.9286	54.4201	31.4455	39.925	82.7248	59.1959	83.7647	73.2046	80.3577	90.6695	67.3178	67.7301	71.3519	85.7776	57.9219	53.2312	0.0	70.6992	0.0	0.0	74.0	0.0	0.0	76.1823	99.7121	93.9078	91.7821	98.8742	102.9966
sub-1_ses-30_T1w.long.sub-1_base	38.779	50.3333	81.9247	58.5325	84.8289	76.5283	83.9864	93.4485	42.8069	33.7509	80.9435	68.4891	70.6234	54.5825	73.1273	86.9056	61.1111	54.9641	32.6308	41.7083	82.844	59.9133	83.9721	74.0479	81.5077	92.1564	67.9888	68.6572	72.4581	86.2902	58.6304	54.1277	0.0	70.314	0.0	0.0	73.0	0.0	0.0	77.0859	97.4594	92.0121	91.761	97.693	101.8239
sub-1_ses-31_T1w.long.sub-1_base	38.1205	49.0276	82.4452	57.6596	84.76	75.9062	83.1998	92.8933	41.1927	33.2492	81.8203	67.8498	69.8861	53.1706	70.9157	86.6492	63.1429	53.598	32.0253	43.1545	82.5385	58.799	83.6384	73.0047	79.8649	90.4109	67.1887	67.2383	70.459	84.9196	56.1111	53.7921	0.0	70.1792	0.0	0.0	75.0	0.0	0.0	78.0169	99.5922	92.6172	93.4672	98.803	102.8682
sub-1_ses-32_T1w.long.sub-1_base	36.1923	46.0752	82.7117	56.6687	83.5432	74.8293	82.2249	92.6292	39.1277	31.0916	81.6142	66.9634	69.0825	52.278	70.3329	85.3885	62.0	54.9099	30.0365	40.114	82.9914	58.5982	82.9928	72.7366	78.5351	89.9045	66.1886	66.1996	69.705	84.7307	56.5244	52.9639	55.0	69.7548	0.0	0.0	68.0	0.0	0.0	74.7228	99.5299	94.048	93.4444	100.1497	103.5226
sub-1_ses-33_T1w.long.sub-1_base	38.6761	47.7253	82.4333	58.3278	84.5987	75.421	82.8957	92.8007	40.8756	33.2474	81.4979	67.9011	69.8463	53.1667	69.3612	86.3468	62.8235	54.9823	32.2232	41.4375	82.8166	59.4949	83.275	73.7199	79.6857	90.002	67.4373	67.4151	70.7184	84.8736	57.3478	53.1008	0.0	70.5303	0.0	0.0	70.0	0.0	0.0	75.352	99.4969	92.1776	93.4556	97.3091	104.5
sub-1_ses-34_T1w.long.sub-1_base	39.7453	49.3684	82.0336	58.3381	84.7188	75.4533	82.8368	92.5522	41.1453	33.443	81.7556	69.1011	70.7885	54.762	71.2545	86.63	61.8235	55.3024	34.0468	42.1395	82.8685	59.8134	84.1442	73.4587	81.5849	92.269	67.8489	69.8382	72.0268	86.3979	58.5455	53.4808	38.5	71.2105	0.0	0.0	0.0	0.0	0.0	79.1182	98.2663	91.4253	91.5355	93.9569	102.1905
sub-1_ses-35_T1w.long.sub-1_base	39.3421	49.1914	82.2012	57.7864	84.7048	75.3807	83.1254	93.4664	41.5373	33.4946	81.9512	68.921	70.7108	54.5602	70.3144	86.4936	62.92	55.9239	34.1895	43.7681	82.3816	59.6517	84.0107	73.5265	80.7744	91.5717	67.5657	68.3225	72.4669	86.2739	58.2586	53.8228	35.0	70.3489	0.0	0.0	69.0	0.0	0.0	78.2488	97.0606	90.5757	90.2626	94.967	99.5375
sub-1_ses-36_T1w.long.sub-1_base	40.1455	49.9014	81.9917	58.8463	84.5831	75.3922	82.6438	92.303	42.3089	34.22	81.6146	69.2117	71.0273	54.9552	70.0756	86.5254	63.125	55.2999	34.5617	43.3143	82.3573	59.8418	84.2082	73.603	81.0241	91.6654	67.8736	68.8416	71.5033	86.1656	56.9	54.0949	38.0	70.5319	0.0	0.0	66.0	0.0	0.0	77.7948	98.0364	93.1546	90.6965	94.2648	102.1584
sub-1_ses-37_T1w.long.sub-1_base	39.7064	49.2387	82.1412	58.54	85.1074	75.7565	82.9778	92.8184	41.7426	34.1944	81.9905	69.0933	71.1727	54.539	71.3875	86.6605	64.0	55.0221	34.3368	43.3571	82.438	59.8056	84.648	73.7719	81.6574	92.5178	67.9086	69.8669	72.954	87.1044	58.4	53.6322	0.0	70.6314	0.0	0.0	55.0	0.0	0.0	79.7603	98.0391	93.4795	90.6164	94.7589	101.3663
sub-1_ses-38_T1w.long.sub-1_base	41.0019	50.4745	81.7842	58.5907	85.2109	75.8268	83.9907	93.9472	43.5965	34.5838	81.5142	69.5243	71.6972	54.9646	71.0771	87.0429	64.9091	55.0319	35.4532	43.431	82.0663	59.9705	84.6226	74.2083	82.0329	91.9875	68.3954	69.9065	73.441	86.5242	58.3019	54.2881	44.8571	70.387	0.0	0.0	67.0	0.0	0.0	79.2638	97.4676	92.3041	89.0306	94.1318	101.5676
