Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-2_ses-1_T1w	39.4346	43.7956	84.2321	61.7546	87.8645	79.615	86.3937	97.9449	46.89	32.9059	82.3465	70.5883	71.7202	51.1429	78.9323	90.5219	0.0	55.1133	35.6954	46.3102	84.2806	61.8971	84.6986	74.7353	82.6956	94.9192	69.0127	68.4213	74.6267	87.6416	64.4286	54.3887	0.0	73.893	0.0	0.0	0.0	0.0	0.0	75.535	101.4872	95.9289	86.9316	90.6136	104.6745
sub-2_ses-2_T1w	38.6319	43.5056	84.772	63.0631	87.8951	79.6601	87.504	98.5117	47.0196	33.6149	82.5854	71.1289	70.4057	52.1424	75.8814	89.2972	64.4	53.425	36.4733	46.8516	84.4163	62.6874	85.6461	76.3695	85.6431	95.7215	70.3782	70.1578	74.7652	87.9941	63.125	54.4558	0.0	72.1537	0.0	0.0	0.0	0.0	0.0	74.3232	101.0703	93.912	88.6684	93.8915	102.2386
sub-2_ses-3_T1w	41.1084	45.4022	84.8072	63.9623	88.0247	80.3028	89.1642	99.2217	50.0573	35.2828	82.9808	72.5165	72.9811	54.7898	77.4572	90.422	67.625	51.2226	37.4271	44.2816	85.1465	63.7847	86.9032	77.556	86.002	97.1655	71.6885	70.5416	75.7264	89.1272	65.2	55.8974	0.0	72.1055	0.0	0.0	0.0	0.0	0.0	72.5	100.4601	93.8911	87.7117	89.001	102.2428
sub-2_ses-4_T1w	36.3669	42.192	83.9095	60.0471	84.8125	77.4261	85.0552	97.4112	45.7807	29.7571	81.165	69.3578	71.7743	48.526	74.5247	88.4048	61.8333	56.6247	34.4685	41.1434	84.3334	60.7135	85.3263	75.6297	84.7791	96.5975	67.3794	67.4573	75.7033	89.0532	62.25	55.7036	0.0	71.2322	0.0	0.0	0.0	0.0	0.0	78.5305	100.6403	92.8194	86.4592	91.9756	101.9469
sub-2_ses-5_T1w	42.0745	46.2567	84.5334	61.432	88.4579	81.2599	90.1758	101.0159	50.6051	35.3439	83.7224	72.3831	73.1207	55.2928	79.9354	90.7416	67.8	53.3323	39.6479	46.1228	84.2771	61.6355	88.1909	79.9183	88.7552	100.0292	71.9413	72.0182	79.3918	89.5742	65.2	57.3049	0.0	72.0821	0.0	0.0	0.0	0.0	0.0	73.1379	101.2478	96.9988	87.3059	93.0051	93.0661
sub-2_ses-6_T1w	36.1436	40.8927	83.8697	60.209	86.3126	76.9316	85.5967	97.2012	44.6021	31.7309	82.4747	69.4742	70.5344	48.9596	73.8085	89.9655	64.4444	52.2143	33.2375	44.5031	84.0956	60.9859	85.6533	74.4107	84.635	96.2797	69.1762	68.4073	72.6553	89.1116	62.7	52.6548	52.6667	71.0643	0.0	0.0	0.0	0.0	0.0	75.1579	99.885	97.2779	88.0728	92.1499	102.1486
sub-2_ses-7_T1w	37.9177	44.0551	83.9051	61.5468	86.9281	77.9549	86.4158	97.7805	45.6166	32.8975	81.1235	70.5535	69.7226	50.8174	75.6465	87.9265	68.125	51.4102	35.0083	43.872	85.0714	61.6511	85.6346	74.7987	85.3607	96.7669	70.8831	68.9562	74.5884	87.161	0.0	55.7799	0.0	72.1669	0.0	0.0	0.0	0.0	0.0	73.8033	100.8735	92.7392	85.2605	93.0341	102.1874
sub-2_ses-8_T1w	40.6133	42.6722	84.6629	62.1934	87.6175	78.2371	87.8305	98.0217	50.4252	35.5788	83.5706	71.4607	72.0626	55.321	77.0456	90.8086	66.75	54.7738	38.8743	48.4522	84.6417	63.6967	87.1265	77.4451	85.7711	96.6539	71.1221	71.2663	78.1588	89.4171	65.0	58.2882	0.0	73.8211	0.0	0.0	0.0	0.0	0.0	76.5308	98.9264	94.7537	88.3984	87.5329	97.9592
sub-2_ses-9_T1w	36.5032	42.7042	84.2187	60.5726	86.004	76.357	85.3578	97.8373	45.0046	31.8611	82.5475	70.1517	71.1442	50.4531	75.6589	90.365	64.5625	53.1132	34.3771	45.2105	83.4949	60.6791	84.7995	75.7315	84.2688	96.8751	70.607	70.4639	74.882	88.5936	62.75	54.2863	0.0	72.3298	0.0	0.0	0.0	0.0	0.0	71.2595	101.1121	91.8959	84.7021	90.8614	100.3194
sub-2_ses-10_T1w	36.4664	42.1238	84.2237	60.1087	87.3098	77.1502	85.6419	97.3654	45.2434	32.0188	82.7568	69.9384	71.6412	50.0482	73.7282	90.293	64.9	54.28	33.9144	43.8328	83.9637	61.0622	86.35	76.0083	84.873	96.9189	69.0846	68.0171	75.0617	89.3134	59.6	54.2517	0.0	71.4396	0.0	0.0	0.0	0.0	0.0	73.5722	100.324	94.157	87.7378	90.4578	100.7108
