lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	2559.0	1036.0	6881.0	3651.0	2177.0	11700.0	13194.0	10735.0	3355.0	15030.0	9112.0	8015.0	6114.0	14278.0	2171.0	3873.0	6639.0	2870.0	4578.0	2560.0	10572.0	2616.0	13952.0	11511.0	2969.0	18971.0	25629.0	14008.0	14281.0	10551.0	1057.0	2809.0	1217.0	7552.0	1309546.0	1689687.894476
sub-2_ses-2_T1w	2584.0	901.0	6929.0	3459.0	2288.0	11536.0	12969.0	10976.0	3245.0	14525.0	9108.0	7933.0	6166.0	13904.0	2201.0	3689.0	6687.0	2829.0	4466.0	2399.0	9989.0	2376.0	13523.0	11205.0	2812.0	18976.0	25661.0	13429.0	14151.0	10520.0	1069.0	3296.0	1190.0	7913.0	1304229.0	1664244.346295
sub-2_ses-3_T1w	2771.0	869.0	6205.0	3380.0	2342.0	11457.0	13105.0	10809.0	3240.0	14440.0	9122.0	7853.0	6067.0	13567.0	2124.0	3522.0	6434.0	2740.0	4621.0	2462.0	10106.0	2374.0	13524.0	10765.0	2681.0	18722.0	24494.0	13340.0	13729.0	10248.0	1200.0	3049.0	1246.0	7460.0	1298938.0	1689039.10689
sub-2_ses-4_T1w	2691.0	1051.0	6883.0	3560.0	2332.0	12088.0	13298.0	10929.0	3364.0	14810.0	9037.0	8039.0	6286.0	13878.0	2152.0	3627.0	6636.0	2863.0	4558.0	2478.0	10272.0	2305.0	13671.0	11141.0	2864.0	19309.0	25631.0	13404.0	14527.0	10606.0	1021.0	3091.0	1243.0	7678.0	1296845.0	1651817.124084
sub-2_ses-5_T1w	2796.0	698.0	6568.0	3467.0	2280.0	11839.0	12870.0	11130.0	3301.0	14207.0	9056.0	8029.0	6110.0	13764.0	2047.0	3678.0	6748.0	2860.0	4503.0	2509.0	10400.0	2563.0	13959.0	11253.0	2415.0	19376.0	25959.0	13516.0	14107.0	10234.0	968.0	2930.0	1218.0	7616.0	1308132.0	1655518.967365
sub-2_ses-6_T1w	2756.0	1165.0	6846.0	3646.0	2302.0	11951.0	13650.0	10870.0	3381.0	14407.0	9085.0	8116.0	6047.0	14175.0	2098.0	3642.0	7105.0	2931.0	4635.0	2492.0	10575.0	2619.0	13883.0	11514.0	2809.0	19394.0	26240.0	13808.0	14337.0	10921.0	1133.0	3165.0	1217.0	8171.0	1313236.0	1639371.811942
sub-2_ses-7_T1w	2672.0	1026.0	6658.0	3552.0	2411.0	11835.0	13014.0	11371.0	3351.0	14648.0	9151.0	8257.0	6333.0	14299.0	2176.0	3582.0	6537.0	2814.0	4587.0	2532.0	10402.0	2438.0	14003.0	11139.0	2738.0	19242.0	25609.0	13596.0	14441.0	10646.0	1189.0	2799.0	1239.0	7606.0	1300536.0	1652410.892557
sub-2_ses-8_T1w	2654.0	827.0	6844.0	3561.0	2212.0	11406.0	13725.0	10945.0	3404.0	14563.0	9334.0	7971.0	6367.0	13896.0	2151.0	3702.0	6728.0	2827.0	4680.0	2513.0	10565.0	2487.0	13956.0	11506.0	2714.0	19317.0	26071.0	13549.0	14791.0	10691.0	1128.0	2860.0	1244.0	8356.0	1311284.0	1655237.425703
sub-2_ses-9_T1w	2527.0	865.0	7072.0	3615.0	2502.0	11638.0	13267.0	10992.0	3246.0	14904.0	9081.0	7964.0	6163.0	13952.0	2194.0	3778.0	6871.0	2894.0	4674.0	2561.0	10732.0	2319.0	14237.0	11411.0	2478.0	19380.0	26424.0	13826.0	14548.0	10903.0	1099.0	3029.0	1245.0	7533.0	1302824.0	1634720.060833
sub-2_ses-10_T1w	2638.0	1030.0	6739.0	3549.0	2408.0	11498.0	13298.0	11100.0	3452.0	14301.0	9142.0	7968.0	5817.0	14260.0	2131.0	3633.0	6806.0	2787.0	4706.0	2615.0	10447.0	2380.0	13975.0	11295.0	2798.0	19307.0	25844.0	13722.0	14268.0	10697.0	1141.0	2540.0	1242.0	8350.0	1309519.0	1625325.23382
sub-2_ses-11_T1w	2601.0	997.0	6668.0	3659.0	2250.0	11711.0	13387.0	10845.0	3143.0	14679.0	9246.0	8014.0	5732.0	13867.0	2088.0	3720.0	6700.0	2832.0	4509.0	2780.0	10556.0	2388.0	14028.0	11464.0	2627.0	19275.0	25519.0	13982.0	14293.0	10651.0	1054.0	3198.0	1187.0	8238.0	1305764.0	1661932.733146
sub-2_ses-12_T1w	2603.0	652.0	6136.0	3467.0	2390.0	11177.0	13193.0	10734.0	3201.0	14112.0	8948.0	7983.0	6036.0	13539.0	2064.0	3496.0	6251.0	2681.0	4529.0	2464.0	9761.0	2286.0	13459.0	11210.0	2965.0	19326.0	24790.0	13316.0	14219.0	10259.0	1081.0	3158.0	1210.0	7707.0	1304926.0	1693626.741318
sub-2_ses-13_T1w	2696.0	989.0	6712.0	3521.0	2478.0	11690.0	13610.0	10670.0	3378.0	14473.0	8972.0	7973.0	6217.0	13982.0	1988.0	3747.0	6704.0	2782.0	4548.0	2529.0	10558.0	2654.0	13975.0	11389.0	2870.0	19196.0	25531.0	13552.0	14482.0	10581.0	986.0	2779.0	1212.0	7556.0	1305001.0	1639480.031811
sub-2_ses-14_T1w	2729.0	992.0	6489.0	3647.0	2191.0	11850.0	13382.0	10857.0	3447.0	14503.0	9001.0	8093.0	6324.0	14180.0	2100.0	3640.0	6495.0	2693.0	4677.0	2642.0	10411.0	2603.0	13989.0	11431.0	2693.0	19079.0	25267.0	13766.0	14250.0	10652.0	1008.0	2904.0	1221.0	7468.0	1304361.0	1625419.966756
